"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs.kg_inter_Fem_GP_1","Eggs.kg_slope_wt_Fem_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_25","Early_InitAge_24","Early_InitAge_23","Early_InitAge_22","Early_InitAge_21","ForeRecr_101","LnQ_base_Survey_2","Size_DblN_peak_Fishery_1","Size_DblN_top_logit_Fishery_1","Size_DblN_ascend_se_Fishery_1","Size_DblN_descend_se_Fishery_1","Size_DblN_start_logit_Fishery_1","Size_DblN_end_logit_Fishery_1","Size_DblN_peak_Survey_2","Size_DblN_top_logit_Survey_2","Size_DblN_ascend_se_Survey_2","Size_DblN_descend_se_Survey_2","Size_DblN_start_logit_Survey_2","Size_DblN_end_logit_Survey_2","minage.sel.1_Fishery_1","maxage.sel.1_Fishery_1","minage.sel.1_Survey_2","maxage.sel.1_Survey_2","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_2_Survey","Curr_Var_Adj_agecomp_flt_2_Survey","version","RunTime","model_run","hessian","Niterations","Curr_Var_Adj_lcomp_flt_1_Fishery","Curr_Var_Adj_agecomp_flt_1_Fishery","iteration","scenario"
3648050000,3674160000,3672940000,114199000,1459220000,0.480769,0.104149,154126000,1118740000,0.136562,155371000,1245220000,0.430004,0.123475,156183000,156183000,5.67955e-06,0.390227655870945,"0.391353059405626",1,26,99,100,0.9,NA,NA,NA,0.2,19.9526,135.164,0.19357,0.10708,0.0885499,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.5535,0.65,0.4,0,0,-0.00494515,-0.00109398,-0.00132847,-0.00161158,-0.00195273,0,0.0077212,50.8341,-3,0.674136,15,-999,999,41.5233,-4,5.17725,14,-99,99,0,25,0,25,152873000,1020.92,1.34648e-14,0,-128.306,833.568,365.274,-49.6213,0,0,0,0.00272915,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",3.95,"em",TRUE,1232,NA,NA,6,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.345227193708407,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.707187,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,152633000,532114000,531239000,0,872628,665.701,1750.83,62.0823,0,1.56285,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0333333333333333,"om",FALSE,2,1,1,6,"sd_0.025_yrs1"
5654460000,5695490000,5693580000,180240000,2261780000,0.480769,0.0822509,188479000,1734030000,0.106228,187038000,2047170000,0.447924,0.0913075,189533000,189533000,0.0030834,0.272287716245229,"0.392638095744423",1,26,99,100,0.9,NA,NA,NA,0.2,20.1172,132.976,0.198598,0.100568,0.0986859,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,19.0098,0.65,0.4,0,0,-0.000853893,-0.000188383,-0.000228939,-0.000278011,-0.000337274,0,0.0104597,28.5491,-3,5.01391,15,-999,999,40.917,-4,5.00876,14,-99,99,0,25,0,25,167493000,1058.53,8.04376e-15,0,-123.063,842.564,389.013,-49.9897,0,0,0,0.00124563,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",7.4,"em",TRUE,3316,NA,NA,7,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.38679000435828,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.137424,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,168027000,545126000,544236000,0,887761,655.43,1727.79,53.1335,0,0.0590167,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0333333333333333,"om",FALSE,2,1,1,7,"sd_0.025_yrs1"
5054720000,5091800000,5090070000,161040000,2021890000,0.480769,0.0798179,163499000,1550110000,0.102937,162005000,1839920000,0.449616,0.0880871,164322000,164322000,0.0282899,0.300861373132439,"0.387553058037713",1,26,99,100,0.9,NA,NA,NA,0.2,20.2589,134.144,0.194117,0.10805,0.0865124,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.8972,0.65,0.4,0,0,0.00701279,0.00153729,0.0018684,0.00226893,0.00275266,0,0.0699576,20.5175,-3,4.46188,15,-999,999,42.5655,-4,5.06316,14,-99,99,0,25,0,25,179839000,1056.96,2.04258e-14,0,-128.048,877.012,359.43,-51.4383,0,0,0,0.00163754,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",3.86666666666667,"em",TRUE,1136,NA,NA,8,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.415522822206661,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.00478007,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,180239000,535793000,534923000,0,867084,665.706,1726.73,42.1557,0,7.14033e-05,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0166666666666667,"om",FALSE,2,1,1,8,"sd_0.025_yrs1"
5496220000,5536850000,5535010000,174669000,2198490000,0.480769,0.0794721,177031000,1685510000,0.102479,175396000,2001300000,0.449722,0.0876726,177915000,177915000,0.0362921,0.251305442649676,"0.366826862106496",1,26,99,100,0.9,NA,NA,NA,0.2,20.2554,134.207,0.192638,0.0948482,0.108712,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.9784,0.65,0.4,0,0,0.00721033,0.00158027,0.00192055,0.00233222,0.00282943,0,0.0562839,20.5144,-3,4.47353,15,-999,999,41.6286,-4,4.85251,14,-99,99,0,25,0,25,161322000,1080.31,2.66827e-14,0,-124.627,893.522,367.349,-55.9313,0,0,0,0.00167027,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",4.01666666666667,"em",TRUE,1221,NA,NA,9,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.369462168660539,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.000580909,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,161294000,540109000,539232000,0,874375,660.768,1729.45,44.1877,0,1.05455e-06,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0333333333333333,"om",FALSE,2,1,1,9,"sd_0.025_yrs1"
5316480000,5353700000,5351930000,169136000,2126590000,0.480769,0.0814079,175283000,1630390000,0.105014,173706000,1934150000,0.449445,0.0898987,176175000,176175000,0.000938447,0.275174551583002,"0.399426928003044",1,26,99,100,0.9,NA,NA,NA,0.2,19.24,131.165,0.209089,0.0934009,0.103566,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.9462,0.65,0.4,0,0,0.00195637,0.000430748,0.000523736,0.000636389,0.000772621,0,0.0280236,48.9058,-3,15.6317,15,-999,999,43.0363,-4,6.01656,14,-99,99,0,25,0,25,156955000,977.635,1.29014e-14,0,-128.926,805.313,349.671,-48.4239,0,0,0,0.000401807,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",4,"em",TRUE,1247,NA,NA,10,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.369415647694274,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.0878332,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,157272000,540663000,539783000,0,876636,662.331,1736.54,59.0509,0,0.0241083,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0333333333333333,"om",FALSE,2,1,1,10,"sd_0.025_yrs1"
